14.548,12.741,17.684,-22.0
14.548,12.741,17.684,-22.0
14.555,12.747,17.689,-22.0
14.559,1.275,17.691,-22.0
14.559,1.275,17.691,-22.0
14.566,12.756,17.697,-22.0
1.457,12.759,1.77,-22.0
14.574,12.763,17.703,-22.0
14.578,12.766,17.706,-22.0
14.578,12.766,17.706,-22.0
14.589,12.775,17.714,-22.0
14.589,12.775,17.714,-22.0
14.593,12.778,17.716,-22.0
14.601,12.785,17.722,-22.0
14.601,12.785,17.722,-22.0
14.605,12.788,17.726,-22.0
14.613,12.794,17.731,-22.0
14.613,12.794,17.731,-22.0
14.613,12.794,17.731,-22.0
14.613,12.794,17.731,-22.0
14.629,12.807,17.742,-22.0
14.629,12.807,17.742,-22.0
14.629,12.807,17.742,-22.0
14.637,12.813,17.748,-22.0
14.644,12.816,17.754,-22.0
14.644,12.816,17.754,-22.0
14.644,12.816,17.754,-22.0
14.644,12.816,17.754,-22.0
14.659,12.824,17.764,-22.0
14.659,12.824,17.764,-22.0
14.659,12.824,17.764,-22.0
14.659,12.824,17.764,-22.0
14.673,12.831,17.775,-22.0
14.673,12.831,17.775,-22.0
14.673,12.831,17.775,-22.0
14.681,12.834,1.778,-22.0
1.469,12.839,17.786,-22.0
1.469,12.839,17.786,-22.0
1.469,12.839,17.786,-22.0
14.701,12.845,17.795,-22.0
14.701,12.845,17.795,-22.0
14.701,12.845,17.795,-22.0
14.713,1.285,17.803,-22.0
14.713,1.285,17.803,-22.0
14.716,12.852,17.805,-22.0
14.725,12.856,17.811,-22.0
14.725,12.856,17.811,-22.0
14.725,12.856,17.811,-22.0
14.725,12.856,17.811,-22.0
14.739,12.864,17.822,-22.0
14.739,12.864,17.822,-22.0
14.739,12.864,17.822,-22.0
14.752,1.287,17.831,-22.0
14.752,1.287,17.831,-22.0
14.752,1.287,17.831,-22.0
14.763,12.876,17.839,-22.0
14.763,12.876,17.839,-22.0
14.767,12.878,17.842,-22.0
14.776,12.883,17.848,-22.0
14.776,12.883,17.848,-22.0
1.478,12.885,17.851,-22.0
14.788,12.889,17.857,-22.0
14.788,12.889,17.857,-22.0
14.788,12.889,17.857,-22.0
1.48,12.895,17.865,-22.0
1.48,12.895,17.865,-22.0
14.803,12.897,17.867,-22.0
14.811,12.901,17.873,-22.0
