74.667,68.733,84.119,10.285,129.539,97.596,57.625,58.905,39.594,20.0,52.623,27.704,43.236,5.542,1.472,64.603,-32.0
74.675,68.741,84.126,102.857,129.546,97.602,57.631,5.891,39.598,20.0,52.628,27.709,43.242,55.427,14.728,6.461,-32.0
74.675,68.741,84.126,102.857,129.546,97.602,57.631,5.891,39.598,20.0,52.628,27.709,43.242,55.427,14.728,6.461,-32.0
74.682,68.748,84.132,102.863,129.551,97.606,57.635,58.912,39.599,20.0,52.634,27.716,43.249,55.434,14.735,64.617,-32.0
74.686,68.752,84.136,102.866,129.554,97.608,57.637,58.914,39.601,20.0,52.637,27.719,43.253,55.437,14.739,64.622,-32.0
74.686,68.752,84.136,102.866,129.554,97.608,57.637,58.914,39.601,20.0,52.637,27.719,43.253,55.437,14.739,64.622,-32.0
74.693,68.759,84.142,102.872,129.559,97.612,57.641,58.917,39.603,20.0,52.644,27.726,4.326,55.445,14.747,6.463,-32.0
74.698,68.763,84.146,102.876,129.562,97.614,57.643,58.918,39.604,20.0,52.647,2.773,43.264,55.449,14.751,64.634,-32.0
74.698,68.763,84.146,102.876,129.562,97.614,57.643,58.918,39.604,20.0,52.647,2.773,43.264,55.449,14.751,64.634,-32.0
74.706,68.771,84.153,102.882,129.568,97.619,57.648,58.921,39.606,20.0,52.654,27.738,43.272,55.458,1.476,64.642,-32.0
7.471,68.775,84.157,102.886,129.571,77.632,5.765,58.923,39.607,20.0,52.658,27.742,43.276,55.462,14.764,64.647,-32.0
7.471,68.775,84.157,102.886,129.571,77.632,5.765,58.923,39.607,20.0,52.658,27.742,43.276,55.462,14.764,64.647,-32.0
74.714,68.779,8.416,102.889,129.574,77.634,57.652,58.924,39.608,20.0,52.661,27.746,4.328,55.466,14.768,64.651,-32.0
74.722,68.787,84.167,102.896,12.958,77.638,57.656,58.927,3.961,20.0,52.668,27.753,43.288,55.474,14.777,6.466,-32.0
74.722,68.787,84.167,102.896,12.958,77.638,57.656,58.927,3.961,20.0,52.668,27.753,43.288,55.474,14.777,6.466,-32.0
74.731,68.794,84.174,102.903,129.586,77.643,57.661,5.893,39.612,20.0,52.675,27.761,43.296,55.483,14.785,64.668,-32.0
74.731,68.794,84.174,102.903,129.586,77.643,57.661,5.893,39.612,20.0,52.675,27.761,43.296,55.483,14.785,64.668,-32.0
74.739,68.802,84.182,10.291,129.592,77.647,57.665,58.933,39.615,20.0,52.682,27.768,43.304,55.491,14.794,64.677,-32.0
74.739,68.802,84.182,10.291,129.592,77.647,57.665,58.933,39.615,20.0,52.682,27.768,43.304,55.491,14.794,64.677,-32.0
74.746,68.809,84.188,102.915,129.597,77.651,57.669,58.936,39.617,20.0,52.688,27.775,43.311,55.498,14.801,64.684,-32.5
74.746,68.809,84.188,102.915,129.597,77.651,57.669,58.936,39.617,20.0,52.688,27.775,43.311,55.498,14.801,64.684,-32.5
74.746,68.809,84.188,102.915,129.597,77.651,57.669,58.936,39.617,20.0,52.688,27.775,43.311,55.498,14.801,64.684,-32.5
74.757,6.882,84.198,102.925,129.605,77.658,57.675,5.894,3.962,20.0,52.698,27.786,43.322,5.551,14.813,64.696,-32.5
74.757,6.882,84.198,102.925,129.605,77.658,57.675,5.894,3.962,20.0,52.698,27.786,43.322,5.551,14.813,64.696,-32.5
74.765,68.827,84.204,102.931,12.961,77.662,57.679,58.943,39.622,20.0,52.705,27.793,43.329,55.518,14.821,64.704,-32.5
74.765,68.827,84.204,102.931,12.961,77.662,57.679,58.943,39.622,20.0,52.705,27.793,43.329,55.518,14.821,64.704,-32.5
74.769,68.831,84.208,102.934,129.613,77.664,57.681,58.945,39.623,20.0,52.708,27.796,43.333,55.522,14.825,64.708,-32.5
74.776,68.838,84.214,10.294,129.618,57.685,7.861,58.947,39.625,20.0,52.714,27.803,4.334,55.529,14.833,64.716,-32.5
74.776,68.838,84.214,10.294,129.618,57.685,7.861,58.947,39.625,20.0,52.714,27.803,4.334,55.529,14.833,64.716,-32.5
7.478,68.842,84.217,102.943,129.621,57.687,78.611,58.949,39.626,20.0,52.717,27.806,43.343,55.533,14.837,6.472,-33.0
74.788,68.849,84.224,10.295,129.627,57.692,78.615,58.952,39.628,20.0,52.724,27.814,43.351,55.541,14.845,64.728,-33.0
74.788,68.849,84.224,10.295,129.627,57.692,78.615,58.952,39.628,20.0,52.724,27.814,43.351,55.541,14.845,64.728,-33.0
74.795,68.856,84.231,102.956,129.632,57.695,78.618,58.955,3.963,20.0,5.273,27.821,43.358,55.548,14.853,64.736,-33.0
74.795,68.856,84.231,102.956,129.632,57.695,78.618,58.955,3.963,20.0,5.273,27.821,43.358,55.548,14.853,64.736,-33.0
74.802,68.863,84.237,102.962,129.637,57.699,78.621,58.957,39.632,20.0,52.736,27.827,43.365,55.555,1.486,64.743,-33.0
74.806,68.866,8.424,102.964,12.964,57.701,78.622,58.959,39.633,20.0,52.739,2.783,43.368,55.559,14.864,64.747,-33.0
74.806,68.866,8.424,102.964,12.964,57.701,78.622,58.959,39.633,20.0,52.739,2.783,43.368,55.559,14.864,64.747,-33.0
